case,config,organ_id,organ,dice,gt_voxels,sec
s0291,B,1,spleen,0.9897,28695,37.2
s0291,B,2,kidney_right,0.9899,57932,37.2
s0291,B,3,kidney_left,0.9902,60292,37.2
s0291,B,5,liver,0.9879,572863,37.2
s0291,B,6,stomach,0.9827,104482,37.2
s0291,B,7,pancreas,0.9627,24033,37.2
s0291,B,8,adrenal_gland_right,0.9497,1148,37.2
s0291,B,9,adrenal_gland_left,0.9543,1496,37.2
s0291,B,10,lung_upper_lobe_left,0.8703,7739,37.2
s0291,B,11,lung_lower_lobe_left,0.9632,134143,37.2
s0291,B,13,lung_middle_lobe_right,0.6051,9587,37.2
s0291,B,14,lung_lower_lobe_right,0.9551,169309,37.2
s0291,B,15,esophagus,0.9439,3291,37.2
s0291,B,18,small_bowel,0.9579,282119,37.2
s0291,B,19,duodenum,0.9436,12503,37.2
s0291,B,20,colon,0.9423,112732,37.2
s0291,B,21,urinary_bladder,0.9479,75718,37.2
s0081,B,10,lung_upper_lobe_left,0.9381,34054,9.6
s0081,B,12,lung_upper_lobe_right,0.9305,23045,9.6
s0081,B,15,esophagus,0.9552,2026,9.6
s0081,B,16,trachea,0.9659,5221,9.6
s0081,B,17,thyroid_gland,0.9400,3337,9.6
s0001,B,1,spleen,0.9894,33080,22.9
s0001,B,2,kidney_right,0.9832,39621,22.9
s0001,B,3,kidney_left,0.9863,39670,22.9
s0001,B,5,liver,0.9931,326387,22.9
s0001,B,6,stomach,0.9812,45822,22.9
s0001,B,7,pancreas,0.9379,19540,22.9
s0001,B,8,adrenal_gland_right,0.8849,1033,22.9
s0001,B,9,adrenal_gland_left,0.9644,1594,22.9
s0001,B,11,lung_lower_lobe_left,0.9770,8242,22.9
s0001,B,13,lung_middle_lobe_right,0.0000,463,22.9
s0001,B,14,lung_lower_lobe_right,0.6358,23940,22.9
s0001,B,18,small_bowel,0.9472,265910,22.9
s0001,B,19,duodenum,0.9214,15816,22.9
s0001,B,20,colon,0.9383,125061,22.9
s0001,B,21,urinary_bladder,0.9617,62493,22.9
s0151,B,1,spleen,0.9798,67230,38.3
s0151,B,2,kidney_right,0.9829,42653,38.3
s0151,B,3,kidney_left,0.9889,53336,38.3
s0151,B,4,gallbladder,0.9647,9871,38.3
s0151,B,5,liver,0.9934,456173,38.3
s0151,B,6,stomach,0.9109,48457,38.3
s0151,B,7,pancreas,0.9469,29186,38.3
s0151,B,8,adrenal_gland_right,0.9433,954,38.3
s0151,B,9,adrenal_gland_left,0.9294,1294,38.3
s0151,B,11,lung_lower_lobe_left,0.9461,13223,38.3
s0151,B,14,lung_lower_lobe_right,0.9482,37479,38.3
s0151,B,18,small_bowel,0.9375,327634,38.3
s0151,B,19,duodenum,0.9171,19644,38.3
s0151,B,20,colon,0.9387,320224,38.3
s0151,B,21,urinary_bladder,0.9717,100822,38.3
s0151,B,22,prostate,0.8709,9434,38.3
s0328,B,1,spleen,0.9893,62826,48.8
s0328,B,2,kidney_right,0.9920,57285,48.8
s0328,B,3,kidney_left,0.9907,51633,48.8
s0328,B,4,gallbladder,0.9728,17825,48.8
s0328,B,5,liver,0.9939,600168,48.8
s0328,B,6,stomach,0.9843,111492,48.8
s0328,B,7,pancreas,0.9103,16544,48.8
s0328,B,8,adrenal_gland_right,0.9457,1375,48.8
s0328,B,9,adrenal_gland_left,0.9322,1729,48.8
s0328,B,10,lung_upper_lobe_left,0.9458,2692,48.8
s0328,B,11,lung_lower_lobe_left,0.9820,55188,48.8
s0328,B,13,lung_middle_lobe_right,0.9855,15529,48.8
s0328,B,14,lung_lower_lobe_right,0.9849,91057,48.8
s0328,B,15,esophagus,0.9773,3645,48.8
s0328,B,18,small_bowel,0.9508,321799,48.8
s0328,B,19,duodenum,0.9254,17623,48.8
s0328,B,20,colon,0.9495,300817,48.8
s0328,B,21,urinary_bladder,0.9660,86314,48.8
s0328,B,22,prostate,0.8842,7585,48.8
